Price,Close,High,Low,Open,Volume
Ticker,GOOG,GOOG,GOOG,GOOG,GOOG
Date,,,,,
2022-01-03,144.0884552001953,144.56073291327203,142.52714869707975,143.49352743635552,25214000
2022-01-04,143.4349365234375,145.6135245103162,142.8386599633397,144.56123164081836,22928000
2022-01-05,136.71791076660156,143.31725067199832,136.58878949088935,143.20104152385736,49642000
2022-01-06,136.6160888671875,138.73658740768983,135.83395043682168,136.56295516304942,29050000
2022-01-07,136.0733184814453,137.3150650478679,134.8660800302803,136.96769547833836,19408000
2022-01-10,137.63214111328125,137.69768682416424,132.23556950904512,134.1807540369648,34096000
2022-01-11,139.06582641601562,139.37570228850257,135.88360867858768,137.24130661904286,23502000
2022-01-12,140.68524169921875,141.8435746287931,140.152889270692,140.59238653568121,23642000
2022-01-13,138.18536376953125,142.2123108764727,137.9698433838269,140.87645123802994,26566000
2022-01-14,138.83641052246094,140.24080142733288,136.5654521731575,136.5654521731575,23826000
2022-01-18,135.36416625976562,136.45768099201436,134.69525137857937,135.6715718841705,27382000
2022-01-19,134.73001098632812,137.4588498661424,134.57905123334535,136.0077812557023,20796000
2022-01-20,132.59910583496094,136.97466558096235,132.2395667003209,135.58617224187174,21930000
2022-01-21,129.20779418945312,133.84456641229514,129.11742445284216,132.10794589942407,41920000
2022-01-24,129.4858856201172,129.88963206882565,123.794789887795,125.17091648897643,55148000
2022-01-25,125.87409973144531,128.4594120664712,125.51903140878184,127.56254970500032,36008000
2022-01-26,128.36158752441406,131.90482964877893,126.28926697844179,129.7048881894183,39630000
2022-01-27,128.24339294433594,131.70863187790096,128.0685942727313,130.46815841958804,30248000
2022-01-28,132.38356018066406,132.46400333370082,127.8197903579095,129.11641335044254,30518000
2022-01-31,134.77621459960938,134.92023333758002,131.37499000471544,133.28590936591266,34056000
2022-02-01,136.94137573242188,137.26069326120614,133.6536327473979,136.8981837553438,51204000
2022-02-02,147.0303192138672,151.06620730263577,144.56816469067317,150.8313036002186,89750000
2022-02-03,141.6809539794922,148.10420757945724,141.23848624533957,144.30748100394734,56930000
2022-02-04,142.04396057128906,143.55287598104576,138.86719844155502,142.0449456514039,49224000
2022-02-07,137.99366760253906,142.86879852430195,137.75629361750543,142.73223611741068,44610000
2022-02-08,138.2667999267578,138.88665780131754,135.94270798535706,138.0465663228581,34256000
2022-02-09,140.49159240722656,141.20918544454267,139.42290163188508,139.89243631999759,28628000
2022-02-10,137.6604461669922,140.46972797265894,137.11171107310065,138.5518527480684,33018000
2022-02-11,133.21835327148438,138.33657184426212,132.38256584785577,137.8069473162825,38808000
2022-02-14,134.38038635253906,135.2409977122958,132.39596541010667,132.45902568566177,26792000
2022-02-15,135.49826049804688,136.96272612403433,134.61828081664774,136.5371411862396,26578000
2022-02-16,136.55303955078125,137.008419376831,133.90729609790216,135.50321689003454,25610000
2022-02-17,131.4092254638672,135.9094197485801,131.30344302041073,135.22460724536123,30968000
2022-02-18,129.58074951171875,132.91444267162132,129.4213938501965,132.13328925103136,31858000
2022-02-22,128.5229949951172,131.00427573214853,126.87278857161775,129.1015401995207,38906000
2022-02-23,126.71783447265625,130.85352664157858,126.63689119712654,130.187597326834,26432000
2022-02-24,131.77174377441406,132.13278321849418,123.91651024825589,124.15040615809976,43166000
2022-02-25,133.60520935058594,134.4688063920162,130.86942958219572,132.61796201677484,26236000
2022-02-28,133.9741973876953,134.71859977074612,131.92248747870286,132.37860992669,29676000
2022-03-01,133.256103515625,135.1858907943642,132.47196451652619,133.5659794382893,24640000
2022-03-02,133.8356170654297,134.69374305838318,132.525581795612,133.6933411912823,23966000
2022-03-03,133.3951416015625,135.78459743953013,132.524103437031,135.05428933843208,19780000
2022-03-04,131.2239990234375,133.28689328782372,129.52214421761676,132.47594498459415,24446000
2022-03-07,125.6049575805664,131.00749334947648,125.5508312142727,131.00749334947648,39178000
2022-03-08,126.4134292602539,130.35446224720434,125.00531019351016,125.39241639194996,35250000
2022-03-09,132.95614624023438,133.28639057084638,129.20382440838281,130.50690358230835,32258000
2022-03-10,131.7801971435547,132.630866855554,130.5078979922521,130.5689729586585,24266000
2022-03-11,129.58868408203125,133.28787210455567,129.4108998529499,133.08873436948377,26600000
2022-03-14,125.87957000732422,130.13544955613244,125.55380401021073,129.68552557565718,30254000
2022-03-15,128.7792510986328,129.63016340512107,125.70776335018442,126.87328755092427,30292000
2022-03-16,132.78184509277344,132.86178813394216,128.3228571601054,130.10962580669315,32058000
2022-03-17,133.68565368652344,133.82371646057518,131.81694145631218,132.41485480698876,23994000
2022-03-18,135.8717041015625,135.98294238982905,132.0285121724344,132.9740376227,45900000
2022-03-21,135.55088806152344,136.6473883125815,133.69657325725458,135.91738332870798,26632000
2022-03-22,139.3240509033203,140.5382453885067,135.57222965039693,135.57222965039693,29776000
2022-03-23,137.56214904785156,139.0733077410941,137.22744906148807,138.19284294110503,25302000
2022-03-24,140.35153198242188,140.43546080800826,137.10117679824126,138.32590416951496,20544000
2022-03-25,140.5596466064453,140.9946732487546,138.750023673917,140.7905645980449,19270000
2022-03-28,140.98521423339844,141.01153860840063,138.87779419040578,139.72831246875776,23774000
2022-03-29,142.2763671875,143.18267122550785,141.5155670635571,142.18748264880705,28678000
2022-03-30,141.6749725341797,142.50528894244454,141.2017097613591,141.89893427546133,21046000
2022-03-31,138.70034790039062,141.6749868930872,138.6700528965879,141.48031989766645,29516000
2022-04-01,139.74371337890625,139.99201422540574,137.85364745659265,139.05840061775464,23480000
2022-04-04,142.66619873046875,143.06471668231862,139.8673436245369,139.8673436245369,19076000
